benchmark;environment;processed_gc_log_file_count;stw_pause_count;total_stw_ms;stw_overhead_percent;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;iteration_total_duration_ms;min_gc_uptime_s_in_steady_state_window;max_gc_uptime_s_in_steady_state_window;category_pause_cleanup_count;category_pause_cleanup_ms;category_pause_mark_end_count;category_pause_mark_end_ms;category_pause_mark_start_count;category_pause_mark_start_ms;category_pause_relocate_start_count;category_pause_relocate_start_ms;category_pause_remark_count;category_pause_remark_ms;category_pause_young_count;category_pause_young_ms
finagle-chirper;G1GC-Java-25;18;1021.972000;0.334031;;;;;;;;;;;;;;;;;;;
finagle-chirper;ZGC-Java-21;11;0.318000;0.000104;;;;;;;;;;;;;;;;;;;
finagle-chirper;ZGC-Java-25;11;0.346000;0.000113;;;;;;;;;;;;;;;;;;;
finagle-http;G1GC-Java-21;29;1480.207000;0.478671;;;;;;;;;;;;;;;;;;;
finagle-http;G1GC-Java-25;26;1314.734000;0.428100;;;;;;;;;;;;;;;;;;;
finagle-http;ZGC-Java-21;17;0.496000;0.000161;;;;;;;;;;;;;;;;;;;
finagle-http;ZGC-Java-25;11;0.400000;0.000131;;;;;;;;;;;;;;;;;;;
fj-kmeans;G1GC-Java-21;41;2041.998000;0.673089;;;;;;;;;;;;;;;;;;;
fj-kmeans;G1GC-Java-25;38;1896.210000;0.626709;;;;;;;;;;;;;;;;;;;
fj-kmeans;ZGC-Java-21;15;0.419000;0.000136;;;;;;;;;;;;;;;;;;;
fj-kmeans;ZGC-Java-25;18;0.549000;0.000180;;;;;;;;;;;;;;;;;;;
