Section A: throughput summary after warmup
benchmark;environment;measurement_count_after_warmup;total_duration_ms;avg_duration_ms;fastest_environment_for_benchmark;fastest_avg_duration_ms;is_fastest_environment
rx-scrabble;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scala-doku;G1GC-Java-21;1;2;191.258000;0.063408;346.748000;500.063000;0;0.000000;0;0.000000;2;191.258000
scala-doku;G1GC-Java-25;2;3;288.337000;0.094879;316.382000;591.023000;0;0.000000;0;0.000000;3;288.337000
scala-doku;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scala-doku;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scala-kmeans;G1GC-Java-21;2;5;333.332000;0.110722;305.052000;570.959000;0;0.000000;0;0.000000;5;333.332000
scala-kmeans;G1GC-Java-25;2;4;257.941000;0.085628;363.704000;563.878000;0;0.000000;0;0.000000;4;257.941000
scala-kmeans;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scala-kmeans;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scala-stm-bench7;G1GC-Java-21;6;94;17841.158000;5.908878;495.452000;601.929000;1;11.118000;1;91.567000;92;17738.473000
scala-stm-bench7;G1GC-Java-25;6;87;15542.042000;5.149553;515.562000;602.171000;2;16.994000;2;50.429000;83;15474.619000
scala-stm-bench7;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scala-stm-bench7;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scrabble;G1GC-Java-21;6;46;2336.901000;0.774136;528.713000;600.566000;0;0.000000;0;0.000000;46;2336.901000
scrabble;G1GC-Java-25;6;45;2525.422000;0.836531;532.611000;601.975000;0;0.000000;0;0.000000;45;2525.422000
scrabble;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
scrabble;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
